Tugas,Kuis,UTS,UAS,NH
100,74,100,100,93.5
70,47,100,57,68.5
100,58,100,27,71.25
78,3,17,100,49.5
100,100,55,100,88.75
100,95,100,76,92.75
3,8,16,30,14.25
74,8,83,100,66.25
100,56,21,100,69.25
66,100,83,100,87.25
100,51,37,100,72
17,54,64,80,53.75
12,79,60,32,45.75
88,34,45,88,63.75
100,40,85,6,57.75
40,70,9,10,32.25
50,40,44,31,41.25
100,100,100,90,97.5
45,31,100,100,69
61,94,100,71,81.5
23,77,89,8,49.25
59,100,84,25,67
42,87,57,92,69.5
21,63,85,100,67.25
35,60,2,100,49.25
100,100,30,100,82.5
35,100,35,43,53.25
7,100,40,100,61.75
100,100,64,75,84.75
60,96,22,57,58.75
100,94,36,98,82
45,50,100,100,73.75
100,58,100,100,89.5
85,26,100,36,61.75
100,100,11,17,57
74,79,28,84,66.25
66,100,100,100,91.5
13,85,19,90,51.75
100,100,100,88,97
100,88,52,100,85
62,100,100,35,74.25
39,56,49,90,58.5
97,16,100,37,62.5
100,100,100,100,100
100,11,92,94,74.25
99,23,87,100,77.25
100,7,100,100,76.75
31,95,100,17,60.75
92,98,100,100,97.5
89,79,3,27,49.5
35,57,81,89,65.5
100,100,68,25,73.25
27,100,100,100,81.75
100,100,82,100,95.5
98,100,20,40,64.5
15,54,100,42,52.75
21,100,81,100,75.5
17,37,100,2,39
21,82,30,45,44.5
100,100,100,100,100
69,20,65,95,62.25
30,100,100,9,59.75
100,76,100,100,94
3,38,100,23,41
100,25,8,28,40.25
14,100,100,12,56.5
50,100,0,94,61
100,100,99,100,99.75
38,78,50,79,61.25
54,100,100,100,88.5
100,100,59,8,66.75
100,100,44,100,86
91,100,100,100,97.75
100,67,84,3,63.5
70,36,5,0,27.75
16,97,100,79,73
89,92,18,100,74.75
100,100,66,100,91.5
100,44,43,85,68
84,100,64,100,87
12,40,98,0,37.5
78,100,34,100,78
22,100,77,58,64.25
71,100,91,70,83
100,16,100,9,56.25
100,1,96,100,74.25
6,100,5,100,52.75
57,100,67,32,64
87,2,65,100,63.5
32,100,100,14,61.5
100,92,100,6,74.5
100,87,82,100,92.25
14,13,35,100,40.5
80,100,100,66,86.5
49,100,100,100,87.25
46,1,50,51,37
91,100,56,80,81.75
5,52,56,44,39.25
100,9,28,100,59.25
100,34,100,100,83.5
100,100,100,100,100
37,100,52,100,72.25
36,23,2,100,40.25
77,8,100,55,60
100,100,41,5,61.5
100,4,50,77,57.75
100,100,63,79,85.5
67,52,38,78,58.75
100,100,100,31,82.75
100,31,48,45,56
100,100,73,100,93.25
81,100,76,100,89.25
2,86,33,24,36.25
82,88,100,23,73.25
30,10,81,57,44.5
12,100,100,14,56.5
100,100,37,100,84.25
38,69,100,100,76.75
100,100,100,36,84
100,100,100,100,100
44,100,77,39,65
100,50,19,33,50.5
100,37,100,23,65
98,44,50,39,57.75
100,11,98,100,77.25
47,47,98,70,65.5
94,48,36,23,50.25
44,83,31,74,58
50,100,7,70,56.75
46,72,25,58,50.25
58,100,35,95,72
100,36,100,11,61.75
5,64,100,33,50.5
100,25,100,4,57.25
42,26,75,100,60.75
37,100,100,9,61.5
81,100,14,3,49.5
11,100,95,72,69.5
100,24,100,100,81
28,0,100,98,56.5
51,63,100,21,58.75
100,23,100,31,63.5
86,100,63,63,78
58,84,100,100,85.5
100,92,62,100,88.5
100,29,100,65,73.5
55,12,35,18,30
100,100,44,48,73
26,0,25,100,37.75
100,100,100,100,100
